Currency,Model,MAE,RMSE,MAPE
AUSTRALIAN DOLLAR,XGBoost,0.004919131310780852,0.006144926724670083,0.3368082734950825
BRAZILIAN REAL,LSTM,0.05729265056610109,0.07351995648083591,1.386796400654486
CANADIAN DOLLAR,XGBoost,0.0028964157263437853,0.003952026271536767,0.2198839370422792
CHINESE YUAN$,XGBoost,0.010624963976542171,0.014196276273378747,0.15121832310016056
DANISH KRONE,XGBoost,0.014840800743103033,0.019080514444978033,0.22032087012908838
EURO,XGBoost,0.0020638818868001342,0.002615145050209569,0.2288442271359536
GREAT BRITAIN POUNDS,XGBoost,0.0038885844341913817,0.005397900542027757,0.5022232999426808
HONG KONG DOLLAR,XGBoost,0.0026852195231119886,0.004196065998414914,0.03436644491582416
INDIAN RUPEE,LSTM,0.24405831400553357,0.3139375766243919,0.3422211181748753
JAPANESE YEN$,XGBoost,0.24851949055989592,0.3262501635181602,0.2284037232219126
KOREAN WON$,XGBoost,3.5265412597656263,4.51059965126575,0.300272307517631
MALAYSIAN RINGGIT,XGBoost,0.006167158711751286,0.008209179416249475,0.14847374320806092
MEXICAN PESO,XGBoost,0.06145706939697242,0.07894961169071106,0.3191396295741116
NEW TAIWAN DOLLAR,XGBoost,0.04546940485636401,0.06483969326552551,0.14975012246694977
NORWEGIAN KRONE,XGBoost,0.026893061141967916,0.03244491125122141,0.2952092482953568
SINGAPORE DOLLAR,XGBoost,0.0018854941622416077,0.0024243792869765523,0.13854222813273817
SOUTH AFRICAN RAND$,XGBoost,0.08384098701477054,0.1119214430473516,0.5696556365792941
SRILANKAN RUPEE,LSTM,0.5708409627278656,0.7165144030784102,0.3152296166603878
SWEDEN KRONA,XGBoost,0.028154740346272758,0.034607701369422844,0.293606146399035
SWISS FRANC,XGBoost,0.002816406917572021,0.0036183963132001905,0.28552145332276857
THAI BAHT,XGBoost,0.06516084289550778,0.08148118975657237,0.21583694325100627
